新領域創成科学研究科,専攻名,研究室名,教員名,説明,研究室HP,キーワード,引用元HP
新領域創成科学研究科,物質系専攻,岡本・貴田研究室 量子物性科学,岡本 博 教授,　近年、固体に光を照射することにより、固体の電子構造や結晶構造ががらりと変化する現象が様々な物質で見出されています。この現象は、光誘起相転移と呼ばれており、固体物性、特に、非平衡物理学の新しいパラダイムとして、また、次世代の超高速光スイッチや光メモリの動作原理として注目を集めています。本研究室では、これまでに、光照射によって、絶縁体が金属に変化する現象“光誘起絶縁体－金属転移”や、非磁性物質が磁石になる現象“光誘起反強磁性―強磁性転移”、常誘電体が強誘電体になる現象“光誘起常誘電―強誘電転移”、などを見出してきました。遷移金属化合物や有機分子性物質に超短パルスレーザー光や強電場パルス光を照射すれば、光や電場を摂動として扱う通常の枠組みでは取り扱うことができない非平衡の電子構造変化や超高速の電子相転移を実現できる可能性があるのです。本研究室では、自ら開発した紫外からテラヘルツ領域に渡る最先端の超短パルスレーザーを用いた時間分解分光や、世界最高水準の高強度テラヘルツパルスを励起光に用いた広帯域時間分光を駆使して、様々な機能性電子材料（強相関電子系を有する遷移金属酸化物やカルコゲン化物、低次元電子系を有する有機分子性半導体や強誘電体等）において、光誘起相転移をはじめとする新しいフォトニクス機能の開拓とその物理的機構の解明を行っています。２０１６年度から、科学技術振興機構の戦略的創造研究プロジェクト（CREST）において、理論グループと協力し、光励起によって生じる非平衡の電荷やスピンのダイナミクスを新しい情報科学的手法を取り入れた数値計算によって解明する研究も開始しています。　また、上記の研究と平行して、典型的な有機・無機半導体のキャリアダイナミクスの分光研究も行なっています。具体的には、半導体の単結晶や微結晶試料に光ポンプ―広帯域テラヘルツプローブ分光を適用し、光キャリアの移動度を非接触で評価するとともにその散乱機構を解明する研究、半導体電界効果トランジスタに電荷変調テラヘルツ分光を適用し、電界誘起キャリアの移動度の評価とその制限要因の解明に関する研究、を行っています。本研究は、2016年度から開始された産業技術総合研究所との共同プロジェクト（先端オペランド計測技術オープンイノベーションラボラトリ）により進めています。,http://pete.k.u-tokyo.ac.jp/index.html,"光誘起相転移,固体物性,非平衡物理学,超高速光スイッチ,光メモリ,光誘起絶縁体,金属転移,光誘起反強磁性,強磁性転移,光誘起常誘電,強誘電転移,電子構造,電子相転移,超短パルスレーザー,フォトニクス,光励起,スピン,数値計算,半導体,散乱機構,半導体電界効果トランジスタ,移動度, テラヘルツイメージング",http://pete.k.u-tokyo.ac.jp/index.html
新領域創成科学研究科,物質系専攻,有馬・徳永研究室 強相関物性学,有馬 孝尚 教授 ・ 徳永 祐介 准教授 ,電子スピンが特殊な配列パターンをとったり、電子密度が一風変わった空間分布をとると、何か面白いことが起きるのではないか？当研究室では、このような興味のもとで、物質機能の開拓を行っています。研究の流れは、以下のようになります。１．物質探索、物質設計：データベースなどを参考にして、狙いの電子スピン配列や電子密度分布が実現しそうな物質を作る。２．量子ビーム測定：放射光や中性子を使って、電子スピン配列や電子密度分布を調べる。３．物質機能の測定：電子スピン配列や電子密度分布から予測される現象が本当に発現するかどうかを調べる。具体的な物質機能は、スピン配列や電子分布がもたらす対称性の変化によって支配されます。,http://symm.k.u-tokyo.ac.jp/,"電子スピン,電子密度,物質探索,物質設計,電子密度分布,量子ビーム,集光型浮遊帯域熔融装置,",http://symm.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,芝内・橋本研究室 凝縮系量子相物理学,芝内 孝禎 教授・橋本 顕一郎 准教授 ,"当研究室は2014年2月16日付で芝内教授が東京大学大学院 新領域創成科学研究科 物質系専攻に着任してできた比較的新しい研究室です。非従来型超伝導や新奇な相転移現象など、物質中の電子が示す強い相互作用と量子効果により現れる新しい量子凝縮相の物理学的な研究を行っています。 ホームページのアドレスのqpmは、芝内研究室で研究を行っている物質中に現れる様々な量子相""Quantum Phases of Matter""の頭文字をとったものです。今後ホームページのコンテンツを徐々に整備していきたいと思います。",http://qpm.k.u-tokyo.ac.jp/,"非従来型超伝導,超伝導,相転移現象,量子効果,相互作用,量子凝縮相,Quantum Phases of Matter,量子臨界現象,電子ネマティック相,回転対称性,BCS理論,二次元カゴメ格子,",http://qpm.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,木村（剛）研究室 機能性物質科学,木村  剛 教授,本研究室では、従来のマルチフェロイック物質の範疇を超えた新しいタイプのマルチフェロイック結合の創成および新規マルチフェロイック物質開発を行い、複数の構造・電子秩序状態の結合に起因する普通でない電気・磁気特性の制御など新規物性・機能の発現をねらっています。 国内外の様々な測定および計算手法を持つ共同研究者と連携して、強磁性、強誘電性、強弾性といった固体における従来の秩序相の概念を超えた新しい秩序状態の創成、さらにそれらの複合物性の制御法の確立を目指しています。また，物質開発に関しては，遷移金属化合物を主とする従来のマルチフェロイック物質の枠にとどまらず、様々な物質系を対象とした革新的なマルチフェロイック物質をはじめとする新たな機能性物質への展開を図っています。,http://crystal.k.u-tokyo.ac.jp/hp/,"マルチフェロイック物質,マルチフェロイック結合,マルチフェロイック,電子秩序状態,電気・磁気特性,強磁性,誘電性,強弾性,複合物性,遷移金属化合物,希土類金属化合物,高圧下強誘電特性測定用セル",http://crystal.k.u-tokyo.ac.jp/hp/
新領域創成科学研究科,物質系専攻,杉本 宜昭  研究室 単原子分子科学,杉本 宜昭 准教授,全ての物質は原子から構成されており、様々な物性はナノメートルのサイズで決まるので、材料を原子レベルで評価・制御する技術が必要とされている。我々の研究室では、走査型プローブ顕微鏡を用いて、様々な材料表面の原子レベル計測を行い、ナノスケールの物理現象の解明を行っている。 走査型プローブ顕微鏡の中でも特に、絶縁体も扱える等、応用範囲が広い原子間力顕微鏡をベースに研究を行っているところに特色がある。走査型トンネル顕微鏡（STM）との複合化により、同一原子における様々な物性量を同時に測定することができる。 ナノテクノロジーの基盤技術となる原子操作と元素同定の研究を主に行い、個々の原子からナノ構造体を組み立て、新材料や新動作原理に基づくデバイスの探索を行っている。また、走査型プローブ顕微鏡のさらなる高分解能化と高機能化を実現するため、新しい装置の開発も行っている。,http://www.afm.k.u-tokyo.ac.jp/index.html,"走査型プローブ顕微鏡,高分解能化,原子,元素同定,ナノ構造体,ナノテクノロジー,材料",http://www.afm.k.u-tokyo.ac.jp/index.html
新領域創成科学研究科,物質系専攻,伊藤 耕三研究室 超分子科学,伊藤 耕三 教授 ・ 横山 英明 准教授 ,高分子、液晶、生体分子などの有機分子はソフトマテリアルと呼ばれ、外部環境の変化に応じて集合し多彩な高次構造（超分子構造）を自発的に形成する点に特徴がある。超分子構造の中には、ミセルや生体膜のラメラ（積層）構造のような比較的単純なものから、チューブやらせんまたはテトラポッドのような複雑な形態の高次構造、さらには生体組織のようなより複雑で階層的な構造まで様々なものが存在する。 しかもその構造全体が空間的にも時間的にも大きく揺らいでいるため、わずかな刺激により多様な構造相転移あるいは物性の劇的変化が引き起こされる。我々は、ソフトマテリアルの構造と物性を空間的にも時間的にも自在に制御することにより、環境適合性と機能性が真に調和した「生き物のような材料」の実現を目指している。,http://www.molle.k.u-tokyo.ac.jp/,"高分子,液晶,生体分子,ソフトマテリアル,高分子,トポロジカル,超分子ネットワーク構造,環動高分子材料,異種ポリマー鎖,ブロックコポリマー,物質合成,物性評価,ミセル,超臨界CO2処理プロセス,ナノ多孔体,高性能反射防止膜,超断熱材料",http://www.molle.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,内藤・加藤研究室 超分子科学,内藤昌信 准教授 加藤和明 講師,我々の研究室では、3 つの視点から新材料の開発にアプローチしています。１つ目は、分子設計により高分子の階層的な運動性を自在に制御することで、従来の高分子にはない新しい物性・機能を持つ材料を生み出す方法です。金属やセラミックスとは違い、高分子材料中には様々な階層の分子運動があります。 結晶状態やガラス状態であっても、高分子の側鎖の回転などがあり、材料の耐衝撃性や気体分離性能などに劇的な効果をもたらします。私たちの研究室では、分子マシンなどの分子複合体に特有の運動性を、目で見える材料物性や機能として発現させる研究に取り組んでいます。例えば、共有結合の代わりに幾何学的な拘束を用いることで、主鎖と側鎖の運動を分離することができ、材料の大変形にも柔軟に対応できるようになります。 世の中のニーズに答えるには、新しい材料の設計指針や優れた機能をもつ材料群を取り入れることも必要です。２つ目が、生物の仕組みにアイデアを求めたバイオミメティック（生物模倣）手法による材料開発です。例えば、ムラサキイガイといった海洋付着生物がもつ高機能接着性タンパク質の分子構造を取り入れた新規接着剤の開発に取り組んでいます。3 つ目のアプローチが、新素材・新機能物質を取り入れた材料開発です。 例えば、柿渋などに含まれるポリフェノールは、抗菌性や抗酸化性など優れた機能を持つ天然材料です。それらの機能を取り込むことで、これまでにない新しい高分子材料群の開発を進めています。,http://webpark2027.sakura.ne.jp/,"分子設計,高分子,高分子材料,分子運動,結晶,ガラス,気体分離性能,分子複合体,材料物性,バイオミメティック,生物模倣,高機能接着性タンパク質,接着剤,材料開発,",http://webpark2027.sakura.ne.jp/
新領域創成科学研究科,物質系専攻,竹谷 純一 教授 ・ 岡本 敏宏 准教授・渡邉 峻一郎 准教授 研究室 有機エレクトロニクス科学,竹谷 純一 教授 ・ 岡本 敏宏 准教授 渡邉 峻一郎 准教授 ,地球規模の環境変化や急激な少子高齢化による社会構造変化が進む中、次世代の電子デバイスには、更なる利便性と環境制約を鑑みた多様性が 求められています。こうした背景の中、容易で安価、環境負荷が小さい製造プロセスや機械的柔軟性といった魅力を有する有機半導体材料への期待が 高まっています。本研究室では、次世代の電子材料として期待されている、柔らかくて簡単に作れる有機物の半導体デバイスを中心とした、有機エレクトロニクスの研究を、化学や物理の基礎研究から産業応用まで多角的に行っています。 柔らかい半導体を使うと、数mmくらいの厚さの超薄型テレビやプラスティック素材の曲がるディスプレイ、さらには服などにして身に着け るウェアラブルコンピュータなどの全く新しい製品が実現するので、画期的な産業になることが期待されています。こうして新しい価値を創造することに、全世界が躍起になって 取り組んでいます。,http://www.organicel.k.u-tokyo.ac.jp/,"電子材料,有機半導体デバイス,有機エレクトロニクス,有機半導体,電子デバイス,有機合成化学",http://www.organicel.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,有賀 克彦 教授 研究室 有機エレクトロニクス科学,有賀 克彦 教授 ,我々の研究室では、分子を合成したり集合させたり、界面で並べたりすることにより、新機能物質系を開発します。ナノサイズの車を作ったり、分子マシンを自在に操ったり、触角集合体を作ったりします。これらの物質を電極やメカニカルセンサーの上に固定化して、空気中の毒物を検知する超鋭敏なセンサーを開発したりしています。,http://webpark2026.sakura.ne.jp/index.html,"新機能物質,ナノサイズ,分子マシン,触角集合体,メカニカルセンサー,センサー,分子マシン,超分子集合体,ビナフチル分子,人工分子モーター,分子認識,",http://webpark2026.sakura.ne.jp/index.html
新領域創成科学研究科,物質系専攻,植村・細野研究室分子組織化学,植村 卓史教授 ,生体内での多くの化学反応は酵素により触媒され、一見複雑な反応でさえも、完璧な選択性を持って円滑に進行しています。この精巧な反応系の鍵となるのは、酵素の内部に存在する組織化・連動化したナノ反応場形成にあります。つまり、ナノスケールの空間に情報を組み込み、それを鋳型として的確に表現することができれば、望みの反応や機能性ナノ材料を自在に創出できることを自然は教えてくれています。 本研究室では、様々な分子性ナノ空間材料を合理的に設計・構築し、これらの物質が持つ空間情報を超精細に解読・転写する新しい化学システムの開拓を行っています。例えば、金属錯体や有機物からなるナノ空間を分子レベルのフラスコとして取り扱い、その中で高分子をはじめとした機能性物質の導入・合成を行うことで、これまでの手法では不可能な反応・集積・認識を可能にし、分子の持つ潜在機能を最大限引き出す材料の創出を行っています。,http://park.itc.u-tokyo.ac.jp/uemura/,"酵素,反応系,ナノ反応場,ナノスケール,機能性ナノ材料,分子性ナノ空間材料,金属錯体,機能性物質,材料科学",http://park.itc.u-tokyo.ac.jp/uemura/
